County,Street Address,City,State,Zip
Cuyahoga                ,"Roughly bounded by Fairmount and Lomond Blvds., Green, Warrensville Center, Becket, and Coventry Rds.                   ",Shaker Heights                      ,OH,
Cuyahoga                ,"Roughly bounded by Fairmount and Lomand Blvds., Green, Warrensville Center, Becket and Coventry Rd.                     ",Shaker Heights                      ,OH,
Cuyahoga                ,"Roughly bounded by Lomond Blvd., Lytel Rd., Scottsdale Blvd., and Lindholm Rd.                                          ",Shaker Heights                      ,OH,
Cuyahoga                ,5500 Scovill Ave.                                                                                                       ,Cleveland                           ,OH,
Cuyahoga                ,291 E. 222nd St.                                                                                                        ,Euclid                              ,OH,
Cuyahoga                ,12911 and 13114 Snowville Rd.                                                                                           ,Brecksville                         ,OH,
Cuyahoga                ,Public Sq.                                                                                                              ,Cleveland                           ,OH,
Cuyahoga                ,Roughly along Pearl and Broadview Rds.                                                                                  ,Cleveland                           ,OH,
Cuyahoga                ,Address Restricted                                                                                                      ,Independence                        ,OH,
Cuyahoga                ,3334 Prospect Ave.                                                                                                      ,Cleveland                           ,OH,
Cuyahoga                ,9016 Buckeye Rd.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,1911 W. 30th St. at Carroll Ave.                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,2261 E. 40th St.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,2600 Church St.                                                                                                         ,Cleveland                           ,OH,
Cuyahoga                ,12215  Granger Rd.                                                                                                      ,Garfield Heights                    ,OH,
Cuyahoga                ,2543 E. 23rd St. at Woodland                                                                                            ,Cleveland                           ,OH,
Cuyahoga                ,11311 Shaker Blvd.                                                                                                      ,Cleveland                           ,OH,
Cuyahoga                ,3114 Scranton Rd.                                                                                                       ,Cleveland                           ,OH,
Cuyahoga                ,4120 Euclid Ave.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,15837 Euclid Ave.                                                                                                       ,East Cleveland                      ,OH,
Cuyahoga                ,Forman and E. 65th Sts.                                                                                                 ,Cleveland                           ,OH,
Cuyahoga                ,1930 W. 54th St.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,733 Starkweather Ave.                                                                                                   ,Cleveland                           ,OH,
Cuyahoga                ,3813 Euclid Ave.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,2115--2121 Ontario St.                                                                                                  ,Cleveland                           ,OH,
Cuyahoga                ,E of Brecksville at Cuyahoga River                                                                                      ,Brecksville                         ,OH,
Cuyahoga                ,6975 Ridge Rd.                                                                                                          ,Parma                               ,OH,
Cuyahoga                ,8255 Riverview Rd.                                                                                                      ,Brecksville                         ,OH,
Cuyahoga                ,3328 Euclid Ave.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,21706 Lunn Rd.                                                                                                          ,Strongsville                        ,OH,
Cuyahoga                ,18 E. Orange St.                                                                                                        ,Chagrin Falls                       ,OH,
Cuyahoga                ,18910 Westwood St.                                                                                                      ,Strongsville                        ,OH,
Cuyahoga                ,18825 Royalton Rd.                                                                                                      ,Strongsville                        ,OH,
Cuyahoga                ,1860-2553 Superior Ave.                                                                                                 ,Cleveland                           ,OH,
Cuyahoga                ,Superior Ave.                                                                                                           ,Cleveland                           ,OH,
Cuyahoga                ,3522 Prospect Ave.                                                                                                      ,Cleveland                           ,OH,
Cuyahoga                ,193 Bratenahl Rd.                                                                                                       ,Bratenahl                           ,OH,
Cuyahoga                ,4645 Mayfield Rd.                                                                                                       ,South Euclid                        ,OH,
Cuyahoga                ,3134 Prospect Ave.                                                                                                      ,Cleveland                           ,OH,
Cuyahoga                ,3130 Mayfield Rd.                                                                                                       ,Cleveland Heights                   ,OH,
Cuyahoga                ,University Circle at Silver Park                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,5700 Detroit Ave.                                                                                                       ,Cleveland                           ,OH,
Cuyahoga                ,Address Restricted                                                                                                      ,Independence                        ,OH,
Cuyahoga                ,3648 W. Twenty-fifth St.                                                                                                ,Cleveland                           ,OH,
Cuyahoga                ,6183--6185 Mayfield Rd.                                                                                                 ,Mayfield Heights                    ,OH,
Cuyahoga                ,4308 Franklin Blvd.                                                                                                     ,Cleveland                           ,OH,
Cuyahoga                ,Tinkers Creek                                                                                                           ,Valley View                         ,OH,
Cuyahoga                ,3800 W. Thirty-third St.                                                                                                ,Cleveland                           ,OH,
Cuyahoga                ,3001 Fairmount Blvd.                                                                                                    ,Cleveland Heights                   ,OH,
Cuyahoga                ,"Roughly bounded by I-490, I-71, University Ct., W. 7th St., Starkweather Ave., Brayton, Fruit Ave. and Auburn Ave.      ",Cleveland                           ,OH,
Cuyahoga                ,Euclid Ave. at E. 22nd St.                                                                                              ,Cleveland                           ,OH,
Cuyahoga                ,2227 Prospect Ave.                                                                                                      ,Cleveland                           ,OH,
Cuyahoga                ,6579 Canal Rd.                                                                                                          ,Valley View                         ,OH,
Cuyahoga                ,1211 Euclid Ave.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,1675--7 E. 40th St.                                                                                                     ,Cleveland                           ,OH,
Cuyahoga                ,Public Sq.                                                                                                              ,Cleveland                           ,OH,
Cuyahoga                ,4019 Prospect Ave.                                                                                                      ,Cleveland                           ,OH,
Cuyahoga                ,5451 N. Marginal Rd.                                                                                                    ,Cleveland                           ,OH,
Cuyahoga                ,2605 Euclid Ave.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,1310 Old River Rd. (W. 11th St.)                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,N. Marginal Dr.                                                                                                         ,Cleveland                           ,OH,
Cuyahoga                ,Cuyahoga Valley between Rockside Rd. at Cuyahoga National Recreation Area and Howard St. at Little Cuyahoga Valley      ,Independence to Akron               ,OH,
Cuyahoga                ,2900 Detroit Ave.                                                                                                       ,Cleveland                           ,OH,
Cuyahoga                ,11801-11825 Lorain Ave.                                                                                                 ,Cleveland                           ,OH,
Cuyahoga                ,Address Restricted                                                                                                      ,Brecksville                         ,OH,
Cuyahoga                ,9570 Riverview Rd.                                                                                                      ,Brecksville                         ,OH,
Cuyahoga                ,8401--8417 Euclid Ave.                                                                                                  ,Cleveland                           ,OH,
Cuyahoga                ,2911--2915 Detriot Ave.                                                                                                 ,Cleveland                           ,OH,
Cuyahoga                ,"12316 Euclid Ave., inside Lakeview Cemetery                                                                             ",Cleveland                           ,OH,
Cuyahoga                ,"Roughly bounded by E. 105 St., East Blvd., Chester and Euclid Aves.                                                     ",Cleveland                           ,OH,
Cuyahoga                ,2341 Carnegie Ave.                                                                                                      ,Cleveland                           ,OH,
Cuyahoga                ,3535 Ingleside Rd.                                                                                                      ,Shaker Heights                      ,OH,
Cuyahoga                ,E. 65th St. and Forman Ave.                                                                                             ,Cleveland                           ,OH,
Cuyahoga                ,3030 E. 63rd St.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,1422 W. 74th St.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,8935 Buckeye Rd.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,11801 Buckeye Rd.                                                                                                       ,Cleveland                           ,OH,
Cuyahoga                ,"Roughly bounded by Detroit Ave., Aust Ct., W. 25th & W. 28th Sts.                                                       ",Cleveland                           ,OH,
Cuyahoga                ,W. 24th St. and Lorain Ave.                                                                                             ,Cleveland                           ,OH,
Cuyahoga                ,2201 W. 93rd St.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,14300 Detroit Ave.                                                                                                      ,Lakewood                            ,OH,
Cuyahoga                ,1468 W. 9th St.                                                                                                         ,Cleveland                           ,OH,
Cuyahoga                ,19000 Lake Rd.                                                                                                          ,Rocky River                         ,OH,
Cuyahoga                ,4450 Cedar Ave.                                                                                                         ,Cleveland                           ,OH,
Cuyahoga                ,445 S. Rocky River Dr.                                                                                                  ,Berea                               ,OH,
Cuyahoga                ,10307 Detroit Ave.                                                                                                      ,Cleveland                           ,OH,
Cuyahoga                ,NW corner of Euclid Ave. and E. 90th St.                                                                                ,Cleveland                           ,OH,
Cuyahoga                ,330 S. Rocky River Dr.                                                                                                  ,Berea                               ,OH,
Cuyahoga                ,7125 Tanglewood Rd.                                                                                                     ,Independence                        ,OH,
Cuyahoga                ,7604 Canal Rd.                                                                                                          ,Valley View                         ,OH,
Cuyahoga                ,Chagrin River Rd.                                                                                                       ,Gates Mills                         ,OH,
Cuyahoga                ,"1180 Cathan Ave., NW                                                                                                    ",Cleveland                           ,OH,
Cuyahoga                ,6901 Woodland Ave.                                                                                                      ,Cleveland                           ,OH,
Cuyahoga                ,Lewis Research Center                                                                                                   ,Cleveland                           ,OH,
Cuyahoga                ,2062 E. 30th St.                                                                                                        ,Cleveland                           ,OH,
Cuyahoga                ,2074 E. 30th St.                                                                                                        ,Cleveland                           ,OH,
Erie                    ,2.5 mi. NE of Milan on Mason Rd.                                                                                        ,Milan                               ,OH,
Erie                    ,106--108 E. Adams St.                                                                                                   ,Sandusky                            ,OH,
Erie                    ,200 S. Main St.                                                                                                         ,Milan                               ,OH,
Erie                    ,"Liberty Ave., W. of Main St.                                                                                            ",Vermilion                           ,OH,
Erie                    ,1925 Barker St.                                                                                                         ,Sandusky                            ,OH,
Erie                    ,215-213 Fulton St.                                                                                                      ,Sandusky                            ,OH,
Erie                    ,325 Lawrence St.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,1816-1820 W. Jefferson St.                                                                                              ,Sandusky                            ,OH,
Erie                    ,Jct. of Ohio and Perry Sts.                                                                                             ,Vermilion                           ,OH,
Erie                    ,South Shore Dr.                                                                                                         ,Kelleys Island                      ,OH,
Erie                    ,215 W. Washington Row                                                                                                   ,Sandusky                            ,OH,
Erie                    ,302 E. Water St.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,631 Wayne St.                                                                                                           ,Sandusky                            ,OH,
Erie                    ,103-105 W. Shoreline Dr.                                                                                                ,Sandusky                            ,OH,
Erie                    ,614 Columbus Ave.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,Jackson Street Dock                                                                                                     ,Sandusky                            ,OH,
Erie                    ,W. Washington St. Park                                                                                                  ,Sandusky                            ,OH,
Erie                    ,5679 Huron St.                                                                                                          ,Vermilion                           ,OH,
Erie                    ,753 Decatur St.                                                                                                         ,Vermilion                           ,OH,
Erie                    ,Edison Hwy.                                                                                                             ,Birmingham                          ,OH,
Erie                    ,1103--1234 Wayne St.                                                                                                    ,Sandusky                            ,OH,
Erie                    ,809 W. Washington St.                                                                                                   ,Sandusky                            ,OH,
Erie                    ,910 W. Monroe St.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,1215 Campbell St.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,"Liberty Ave., E. of Exchange St. and W. of Toledo St.                                                                   ",Vermilion                           ,OH,
Erie                    ,Adams and Columbus Ave.                                                                                                 ,Sandusky                            ,OH,
Erie                    ,Cedar Point                                                                                                             ,Sandusky                            ,OH,
Erie                    ,Park and Ohio Sts.                                                                                                      ,Huron                               ,OH,
Erie                    ,Midway at Cedar Point                                                                                                   ,Sandusky                            ,OH,
Erie                    ,102-162 Columbus Ave.                                                                                                   ,Sandusky                            ,OH,
Erie                    ,115 E. Washington Row                                                                                                   ,Sandusky                            ,OH,
Erie                    ,301-303 E. Washington St.                                                                                               ,Sandusky                            ,OH,
Erie                    ,1415 Columbus Ave.                                                                                                      ,Sandusky                            ,OH,
Erie                    ,410 Columbus Ave.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,412 Columbus Ave.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,1411 Hayes Ave.                                                                                                         ,Sandusky                            ,OH,
Erie                    ,"Frontiertown, Cedar Point Amusement Park                                                                                ",Sandusky                            ,OH,
Erie                    ,"Kiddieland, Cedar Point Amusement Park                                                                                  ",Sandusky                            ,OH,
Erie                    ,831 Douglas St.                                                                                                         ,Vermilion                           ,OH,
Erie                    ,1208--1210 Central Ave.                                                                                                 ,Sandusky                            ,OH,
Erie                    ,Edison Dr.                                                                                                              ,Milan                               ,OH,
Erie                    ,334 Columbus Ave.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,220 E. Water St.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,117 Hancock St.                                                                                                         ,Sandusky                            ,OH,
Erie                    ,901 W. Market St.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,Meigs St. and Sycamore Line                                                                                             ,Sandusky                            ,OH,
Erie                    ,"Main St., S. of Liberty Ave.                                                                                            ",Vermilion                           ,OH,
Erie                    ,"Main St., S. of Liberty Ave.                                                                                            ",Vermilion                           ,OH,
Erie                    ,Jct. of Liberty Ave. and Main St.                                                                                       ,Vermilion                           ,OH,
Erie                    ,S of Sandusky on Columbus Rd.                                                                                           ,Sandusky                            ,OH,
Erie                    ,204 W. Adams St.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,1202 Sycamore Line                                                                                                      ,Sandusky                            ,OH,
Erie                    ,649 Tiffin Ave.                                                                                                         ,Sandusky                            ,OH,
Erie                    ,Jct. of Grand and Ohio Sts.                                                                                             ,Vermilion                           ,OH,
Erie                    ,202--204 E. Water St.                                                                                                   ,Sandusky                            ,OH,
Erie                    ,279 E. Market St.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,158-160 E. Market St.                                                                                                   ,Sandusky                            ,OH,
Erie                    ,728 Main St.                                                                                                            ,Vermilion                           ,OH,
Erie                    ,128 E. Adams St.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,431 Columbus Ave.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,OH 113 at Division St.                                                                                                  ,Florence                            ,OH,
Erie                    ,"404, 414, 428 Wayne St.                                                                                                 ",Sandusky                            ,OH,
Erie                    ,334 Harrison St.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,480 Main St                                                                                                             ,Vermilion                           ,OH,
Erie                    ,5644 Huron St.                                                                                                          ,Vermilion                           ,OH,
Erie                    ,Jct. of Ohio and Grand Sts.                                                                                             ,Vermilion                           ,OH,
Erie                    ,417 Columbus Ave.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,315 Wayne St.                                                                                                           ,Sandusky                            ,OH,
Erie                    ,1429 Columbus Ave.                                                                                                      ,Sandusky                            ,OH,
Erie                    ,"Midway, Cedar Point Amusement Park                                                                                      ",Sandusky                            ,OH,
Erie                    ,Jct. of Main and Huron Sts.                                                                                             ,Vermilion                           ,OH,
Erie                    ,403 E. Washington St.                                                                                                   ,Sandusky                            ,OH,
Erie                    ,Jct. of Main St. and Liberty Ave.                                                                                       ,Vermilion                           ,OH,
Erie                    ,333 W. Market St.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,409 W. Water St.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,401 W. Shoreline Dr.                                                                                                    ,Sandusky                            ,OH,
Erie                    ,407 Decatur St.                                                                                                         ,Sandusky                            ,OH,
Erie                    ,317 Fulton St.                                                                                                          ,Sandusky                            ,OH,
Erie                    ,W. Jefferson St. at Tiffin Ave. and Clinton St.                                                                         ,Sandusky                            ,OH,
Erie                    ,5564 Ferry St.                                                                                                          ,Vermilion                           ,OH,
Erie                    ,232 Jackson St.                                                                                                         ,Sandusky                            ,OH,
Erie                    ,624 Washington St.                                                                                                      ,Vermilion                           ,OH,
Erie                    ,Jct. of Huron and Washington Sts.                                                                                       ,Vermilion                           ,OH,
Erie                    ,134 E. Adams St.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,1205 Columbus Ave.                                                                                                      ,Sandusky                            ,OH,
Erie                    ,"W breakwater pierhead, at the foot of Main St.                                                                          ",Huron                               ,OH,
Erie                    ,325 Ohio St.                                                                                                            ,Huron                               ,OH,
Erie                    ,231 W. Washington Row                                                                                                   ,Sandusky                            ,OH,
Erie                    ,Kelleys Island                                                                                                          ,Kelleys Island                      ,OH,
Erie                    ,414 W. Madison St.                                                                                                      ,Sandusky                            ,OH,
Erie                    ,37 W. Front St.                                                                                                         ,Milan                               ,OH,
Erie                    ,Address Restricted                                                                                                      ,Kelleys Island                      ,OH,
Erie                    ,"Water St., S side of Kelleys Island                                                                                     ",Kelleys Island                      ,OH,
Erie                    ,1006 Tiffin Ave.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,"Main St., S of Huron St. and N. of Liberty Ave.                                                                         ",Vermilion                           ,OH,
Erie                    ,1319 Tiffin Ave.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,634 Hancock St.                                                                                                         ,Sandusky                            ,OH,
Erie                    ,N. Depot at Carr St.                                                                                                    ,Sandusky                            ,OH,
Erie                    ,318 Huron Ave.                                                                                                          ,Sandusky                            ,OH,
Erie                    ,174-186 E. Market St.                                                                                                   ,Sandusky                            ,OH,
Erie                    ,30 Edison Dr.                                                                                                           ,Milan                               ,OH,
Erie                    ,1119 W. Washington St.                                                                                                  ,Sandusky                            ,OH,
Erie                    ,1002-1018 W. Adams St.                                                                                                  ,Sandusky                            ,OH,
Erie                    ,410 Warren St.                                                                                                          ,Sandusky                            ,OH,
Erie                    ,532 Wayne St.                                                                                                           ,Sandusky                            ,OH,
Erie                    ,514 Wayne St.                                                                                                           ,Sandusky                            ,OH,
Erie                    ,"Main St., S. of Liberty St.                                                                                             ",Vermilion                           ,OH,
Erie                    ,334 E. Washington St.                                                                                                   ,Sandusky                            ,OH,
Erie                    ,319 Lawrence St.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,610 W. Washington St.                                                                                                   ,Sandusky                            ,OH,
Erie                    ,Jct of Ohio and Perry Sts.                                                                                              ,Vermilion                           ,OH,
Erie                    ,"Main and Church Sts., both sides of Front St., and Edison Dr.                                                           ",Milan                               ,OH,
Erie                    ,743 Grand St.                                                                                                           ,Vermilion                           ,OH,
Erie                    ,115--137 and 118--136 Center St.                                                                                        ,Milan                               ,OH,
Erie                    ,328 E. Monroe St.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,621 Wayne St.                                                                                                           ,Sandusky                            ,OH,
Erie                    ,Midway at Cedar Point                                                                                                   ,Sandusky                            ,OH,
Erie                    ,1221 N. Depot St.                                                                                                       ,Sandusky                            ,OH,
Erie                    ,Jct of Rte 60 and Norkfolk and Western Railroad                                                                         ,Vermilion                           ,OH,
Erie                    ,W. Madison and Tiffin Ave.                                                                                              ,Sandusky                            ,OH,
Erie                    ,2917 Milan Rd.                                                                                                          ,Sandusky                            ,OH,
Erie                    ,NE of Sandusky between U.S. 250 and S. Columbus Ave.                                                                    ,Sandusky                            ,OH,
Erie                    ,265 Jackson St.                                                                                                         ,Sandusky                            ,OH,
Erie                    ,5596 Liberty St.                                                                                                        ,Vermilion                           ,OH,
Erie                    ,"Liberty Ave., W. of Main St.                                                                                            ",Vermilion                           ,OH,
Erie                    ,Jct. of Liberty Ave. and Exchange St.                                                                                   ,Vermilion                           ,OH,
Erie                    ,Jct. of Liberty Ave. and Perry St.                                                                                      ,Vermilion                           ,OH,
Erie                    ,Jct. of Exchange and Mill Sts.                                                                                          ,Vermilion                           ,OH,
Erie                    ,5581 Liberty Ave.                                                                                                       ,Vermilion                           ,OH,
Erie                    ,Douglas St.                                                                                                             ,Vermilion                           ,OH,
Erie                    ,922 W. Osborne St.                                                                                                      ,Sandusky                            ,OH,
Erie                    ,5345 South St.                                                                                                          ,Vermilion                           ,OH,
Erie                    ,5780 Liberty Ave.                                                                                                       ,Vermilion                           ,OH,
Erie                    ,690 Decatur St.                                                                                                         ,Vermilion                           ,OH,
Erie                    ,102 W. Washington Row                                                                                                   ,Sandusky                            ,OH,
Erie                    ,231 E. Adams St.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,708 Hancock St.                                                                                                         ,Sandusky                            ,OH,
Erie                    ,Main St. S. of Ferry St.                                                                                                ,Vermilion                           ,OH,
Erie                    ,101-109 Columbus Ave.                                                                                                   ,Sandusky                            ,OH,
Erie                    ,315 Decatur St.                                                                                                         ,Sandusky                            ,OH,
Erie                    ,521 Hancock St.                                                                                                         ,Sandusky                            ,OH,
Erie                    ,230 E. Washington St.                                                                                                   ,Sandusky                            ,OH,
Erie                    ,403 E. Adams St.                                                                                                        ,Sandusky                            ,OH,
Erie                    ,"Lewis Research Center, Plum Brook Station                                                                               ",Sandusky                            ,OH,
Erie                    ,Exchnage St.                                                                                                            ,Vermilion                           ,OH,
